idx,question,answer,option_pred,option_gap,rag_pred,model_pred,final_pred,source,is_correct
22,What is the height of the Phare du Cap Leucate lighthouse?,D,D,1.6483680963516236,,,D,option_aware_high_conf,True
23,"What was one of the notable features of The Gentlewoman, a weekly illustrated paper for women published in London in 1890?",C,D,0.07688045501708982,A,A,A,majority_vote,False
24,"What role does the film ""Citadel"" play in the genre of horror?",D,C,0.0042671084403992365,D,B,D,judge,True
25,What is the difference between natural convection and forced convection?,C,C,0.5814522981643676,,,C,option_aware_high_conf,True
26,What is Andre Ryan Adams known for in the world of cricket?,B,C,0.8242323100566864,,,C,option_aware_high_conf,False
27,What is one of the criticisms of the theory of multiple intelligences?,E,A,0.4996421575546265,,,A,option_aware_high_conf,False
28,What is the Star Trek Ship Construction Manual?,C,C,0.7296242609620094,,,C,option_aware_high_conf,True
29,What was the cause of the crash of Merpati Nusantara Airlines Flight 8968?,E,D,0.821853232383728,,,D,option_aware_high_conf,False
30,How is the prime minister of Italy appointed and required to stay in office based on the Constitution of Italy?,C,C,0.976564884185791,,,C,option_aware_high_conf,True
31,"What is the radio format of WGPA, a Class D daytimer radio station based in Bethlehem, Pennsylvania?",E,A,0.0,D,D,D,majority_vote,False
32,What is the geographical relationship between the village of Kåfjord and the village of Kvenvik based on the Wikipedia excerpt?,C,A,0.0,C,C,C,majority_vote,True
33,"What is a ""coffee ring"" in physics?",E,E,0.29774417877197257,B,B,B,majority_vote,False
34,"How does the Kelvin-Helmholtz instability impact the operation of Kawakura Station in Aomori, Japan?",C,A,0.0,C,A,A,majority_vote,False
35,"What is the primary habitat of Tabanus calens, a species of horse fly?",E,A,0.0,B,E,B,judge,False
36,"What is the plot of the 1993 Italian comedy film titled ""The Storm Is Coming""?",D,B,0.015725708007812506,D,D,D,majority_vote,True
37,Which teams did Jason Bay play for during his career in Major League Baseball (MLB)?,A,E,0.8227139234542846,,,E,option_aware_high_conf,False
38,When was the nonfiction book Fighting for Space: Two Pilots and Their Historic Battle for Female Spaceflight published?,E,E,1.25345778465271,,,E,option_aware_high_conf,True
39,"What is the unique characteristic of the genus Notocomplana, according to the provided Wikipedia excerpt?",A,A,0.0,B,A,A,majority_vote,True
40,What is the reason behind the largest externally observed electrical effects when two conductors are separated by the smallest distance without touching?,D,D,1.4674601793289186,,,D,option_aware_high_conf,True
41,What is the primary component of the Slovenian Armed Forces?,D,C,0.16199374198913574,D,D,D,majority_vote,True
42,What was Anthony D. Gonsolin's pathway to the Major League Baseball (MLB)?,E,A,0.0,E,E,E,majority_vote,True
43,Where did Christopher Ryan Herrmann play college baseball?,A,A,0.26935939788818364,A,,A,rag_option_agree,True
44,What is the one-character play that Monsieur Lazhar is based on?,D,D,1.0971196770668028,,,D,option_aware_high_conf,True
45,Where is Tokyo International School located?,C,C,0.1463398456573486,C,,C,rag_option_agree,True
46,What is Bernard Kangro primarily known for?,B,B,0.265205705165863,B,,B,rag_option_agree,True
47,What is the reason for the formation of stars exclusively within molecular clouds?,B,C,0.0026853561401367076,B,B,B,majority_vote,True
48,What is the period drama film Gods and Monsters (1998) based on?,C,C,0.5522230625152589,,,C,option_aware_high_conf,True
49,What unique feature can be found at Amnicon Falls State Park in Wisconsin?,C,B,0.005662769079208374,A,C,C,judge,True
