model,prompt_style,index,question,question_type,ground_truth,prediction,exact_match,normalized_match,numeric_near_match,combined_relaxed_accuracy,verbose,average_answer_length_words,one_word
Original adapter q/v 1 epoch,short,1,In which year the difference between blue and green graph 1?,numeric,2018,2005,False,False,True,True,False,1,True
Original adapter q/v 1 epoch,short,2,What does the blue line represent?,legend_or_label,Not too much/not at all,2007,False,False,False,False,False,1,True
Original adapter q/v 1 epoch,short,3,What is the max value of blue line?,numeric,0.72,100,False,False,False,False,False,1,True
Original adapter q/v 1 epoch,short,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67,False,False,True,True,False,1,True
qv_clean_3epoch_train2000,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green ����������������������������������������������,False,False,False,False,False,2,False
qv_clean_3epoch_train2000,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2014-2015-2016-2017-2018-2019-2020-2021-2022-20,False,True,True,True,False,1,True
qv_clean_3epoch_train2000,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/Not at all (60+70) 130 130 130 130 130 130 130 130 1,False,True,False,True,True,15,False
qv_clean_3epoch_train2000,normal,3,What is the max value of blue line?,numeric,0.72,69.55555555555555555555555555555555555555555555,False,False,False,False,False,1,True
qv_clean_3epoch_train2000,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67.14375097664210000000000000000000000000000000,False,False,True,True,False,1,True
qv_clean_3epoch_train2000,short,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green 30+ years olds 30+ years olds 30+ years olds 30+ years olds 30+ years olds 30+ years olds 30+ years,False,False,False,False,True,21,False
qv_clean_3epoch_train2000,short,1,In which year the difference between blue and green graph 1?,numeric,2018,2014-2015-2016-2017-2018-2019-2020-2021-2022-20,False,True,True,True,False,1,True
qv_clean_3epoch_train2000,short,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/Not at all: Great deal/Fair amount: 60+40=100) 60+40=100) 60+40=100),False,True,False,True,True,11,False
qv_clean_3epoch_train2000,short,3,What is the max value of blue line?,numeric,0.72,70.55555555555555555555555555555555555555555555,False,False,False,False,False,1,True
qv_clean_3epoch_train2000,short,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67143076923076923076923076923076923076923076923,False,False,False,False,False,1,True
qkvo_clean_2epoch_train2000,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,1,True
qkvo_clean_2epoch_train2000,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2014,False,False,True,True,False,1,True
qkvo_clean_2epoch_train2000,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,"Not too much/not at all (Great deal/fair amount) 2007-2013, 2015-2019, 2020-2021",False,True,False,True,True,11,False
qkvo_clean_2epoch_train2000,normal,3,What is the max value of blue line?,numeric,0.72,70.56666666666666666666666666666666666666666666,False,False,False,False,False,1,True
qkvo_clean_2epoch_train2000,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67.14375098632812500000000000000000000000000000,False,False,True,True,False,1,True
qkvo_clean_2epoch_train2000,short,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,1,True
qkvo_clean_2epoch_train2000,short,1,In which year the difference between blue and green graph 1?,numeric,2018,2014-2015-2016-2017-2018-2019-2020-2021-2022-20,False,True,True,True,False,1,True
qkvo_clean_2epoch_train2000,short,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/not at all (Great deal/fair amount) 2013-2018 2019-2023 2024-2028 2,False,True,False,True,True,12,False
qkvo_clean_2epoch_train2000,short,3,What is the max value of blue line?,numeric,0.72,70.56666666666666666666666666666666666666666666,False,False,False,False,False,1,True
qkvo_clean_2epoch_train2000,short,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67.14375098632812547617187509863281254761718750,False,False,True,True,False,1,True
